timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.760430416959000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.656156215607073878e-01,3.534464489780333452e-01,-1.712319295247858864e-01,1.630484730297745710e-01,9.807679704217692196e-01,1.028817190359964995e+00,5.000000000000000000e-01,5.000000000000000000e-01,9.508939918894367960e-01,2.142049222102946487e-02,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760430417169000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.712320037150449059e-01,1.630487811893407135e-01,-1.750115906350877548e-01,1.630563417468621490e-01,9.508935972603994591e-01,2.142212269492440105e-02,5.000000000000000000e-01,5.000000000000000000e-01,9.307894115154906611e-01,2.146212564477326459e-02,4.000000000000000777e-01,5.000000000000000000e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760430417371000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.750115906350877548e-01,1.630563417468621490e-01,-1.792491234470507955e-01,1.630640264892250502e-01,9.307894115154906611e-01,2.146212564477326459e-02,5.000000000000000000e-01,5.000000000000000000e-01,9.082493433667511162e-01,2.150278565727538685e-02,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760430417574000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,-1.792491234470507955e-01,1.630640264892250502e-01,-1.792546809886901571e-01,1.635527819768880786e-01,9.082493433667511162e-01,2.150278565727538685e-02,5.000000000000000000e-01,5.000000000000000000e-01,9.082197819750523760e-01,2.408879352850834196e-02,5.000000000000000000e-01,5.260000000000000231e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.760430417777000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-1.792547733303322954e-01,1.636347030842936201e-01,-1.754855415350751735e-01,1.677673451643196811e-01,9.082192907961048611e-01,2.452223854123607508e-02,5.999999999999999778e-01,5.260000000000000231e-01,9.282683960900256492e-01,4.638806965248507691e-02,5.999999999999999778e-01,5.779999999999999583e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.760430417981000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-1.754855415350751735e-01,1.677673451643196811e-01,-1.637163529013632990e-01,1.758985308625072852e-01,9.282683960900256492e-01,4.638806965248507691e-02,5.040000000000000036e-01,5.779999999999999583e-01,9.908704632906207843e-01,8.941021620374224599e-02,7.000000000000000666e-01,6.280000000000000027e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.760430418183000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.637163529013632990e-01,1.758985308625072852e-01,-1.655520819597348647e-01,1.868452507812497221e-01,9.908704632906207843e-01,8.941021620374224599e-02,5.040000000000000036e-01,6.280000000000000027e-01,9.811059470226869417e-01,1.473293692129614973e-01,4.080000000000000293e-01,6.380000000000000115e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760430418388000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.658433480712258601e-01,1.872872779789533926e-01,-1.773006563766358346e-01,1.983378733749775746e-01,9.795566591956071933e-01,1.496681374547798593e-01,5.040000000000000036e-01,6.380000000000000115e-01,9.186135299115115727e-01,2.081368961639025184e-01,3.039999999999999925e-01,6.380000000000000115e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760430418590000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.773006563766358346e-01,1.983378733749775746e-01,-1.929840560343776823e-01,2.093887048080221858e-01,9.186135299115115727e-01,2.081368961639025184e-01,4.040000000000000258e-01,6.380000000000000115e-01,8.351911913065016568e-01,2.666069037461491487e-01,3.039999999999999925e-01,6.380000000000000115e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760430418793000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.929840560343776823e-01,2.093887048080221858e-01,-2.124472516247562504e-01,2.204396452887779079e-01,8.351911913065016568e-01,2.666069037461491487e-01,4.040000000000000258e-01,6.380000000000000115e-01,7.316635551874667298e-01,3.250774883004122207e-01,2.039999999999997649e-01,6.380000000000000115e-01,0.000000000000000000e+00,-2.000000000000000111e-01
