0.557551,0.461245,0.500000,0.500000
0.080829,0.853890,0.000000,1.000000
0.023507,0.830095,0.372475,0.446948
0.000592,0.785616,0.446151,0.394918
0.000369,0.724542,0.499494,0.361296
0.000167,0.665435,0.499526,0.360361
0.020017,0.606313,0.546647,0.360325
0.085777,0.548730,0.654535,0.363959
0.172430,0.513047,0.703636,0.415698
0.262582,0.498226,0.703707,0.465538
0.329287,0.492391,0.656757,0.486216
0.353535,0.486327,0.556794,0.486223
0.373459,0.477070,0.546821,0.478131
0.439313,0.450442,0.646805,0.439723
0.506017,0.424359,0.656754,0.438379
0.529904,0.415152,0.500000,0.500000
0.105808,0.026830,0.000000,0.000000
0.121449,0.056292,0.536756,0.569604
0.135972,0.104358,0.534129,0.613557
0.193283,0.151821,0.634682,0.612131
0.298081,0.201173,0.734803,0.612108
0.402230,0.248626,0.744750,0.612109
0.465447,0.297994,0.644846,0.612146
0.482821,0.345475,0.540828,0.612174
0.497655,0.392961,0.534861,0.612185
0.558172,0.442343,0.642215,0.616665
0.619777,0.489829,0.644771,0.612186
0.638783,0.539201,0.544951,0.612213
0.611721,0.576063,0.440852,0.584736
0.582329,0.589910,0.430929,0.532714
0.595455,0.582595,0.530846,0.482718
0.610890,0.553207,0.536860,0.433841
0.582325,0.518590,0.432871,0.418218
0.531196,0.483967,0.379847,0.418203
0.499023,0.443804,0.500000,0.500000
0.958911,0.823557,1.000000,1.000000
0.998740,0.767105,0.593603,0.372761
0.998700,0.691229,0.499906,0.320744
0.998672,0.604981,0.499933,0.296238
0.976951,0.515271,0.452917,0.296213
0.912707,0.437373,0.349028,0.315965
0.845925,0.380516,0.343062,0.365676
0.821586,0.335446,0.443005,0.397595
0.801511,0.299986,0.452824,0.416226
0.738886,0.285457,0.352831,0.465675
0.671988,0.292753,0.346833,0.515570
0.651071,0.318845,0.450847,0.561642
0.652772,0.348854,0.503842,0.568169
0.634396,0.377711,0.456815,0.568175
0.591866,0.407725,0.403900,0.568180
0.571568,0.441208,0.500000,0.500000
0.080369,0.045677,0.000000,0.000000
0.023240,0.075675,0.365746,0.570870
0.002561,0.104521,0.451404,0.568149
0.002434,0.134525,0.499701,0.570882
0.022275,0.163374,0.546628,0.568158
0.088042,0.198385,0.654552,0.582712
0.194637,0.252348,0.750499,0.627488
0.330752,0.321014,0.819870,0.662224
0.445746,0.382324,0.761842,0.640238
0.516629,0.424672,0.662522,0.596679
0.535925,0.470291,0.500000,0.500000
0.100810,0.883710,0.000000,1.000000
0.110886,0.887318,0.524781,0.509205
0.096504,0.868003,0.467503,0.457122
0.082110,0.836520,0.467474,0.428485
0.067720,0.805013,0.467483,0.428426
0.053886,0.774709,0.467492,0.428409
0.039503,0.743187,0.466200,0.425527
0.046073,0.710442,0.512817,0.425507
0.096296,0.680108,0.618025,0.428334
0.173900,0.648542,0.682368,0.425427
0.251643,0.616967,0.682696,0.425403
0.329404,0.585382,0.682739,0.425381
0.387342,0.553793,0.636155,0.425371
0.398970,0.520987,0.528416,0.425366
0.405155,0.490606,0.514534,0.428227
0.456655,0.459003,0.621024,0.425337
0.511144,0.433628,0.625136,0.441424
0.492725,0.409575,0.500000,0.500000
0.915649,0.036938,1.000000,0.000000
0.900302,0.070641,0.463933,0.579623
0.862621,0.128168,0.416852,0.629682
0.823077,0.203290,0.407070,0.677475
0.827080,0.285240,0.507029,0.686161
0.834254,0.364043,0.516858,0.686172
0.796613,0.443863,0.416929,0.681977
0.737007,0.502594,0.359926,0.638752
0.697398,0.540139,0.406918,0.588699
0.701329,0.556735,0.506865,0.538711
0.708438,0.553655,0.516705,0.492721
0.670752,0.547586,0.411437,0.485664
0.611122,0.541749,0.359870,0.486209
0.571512,0.535733,0.406917,0.485787
0.575423,0.515356,0.506837,0.454712
0.582525,0.484133,0.516691,0.426233
0.534960,0.446645,0.500000,0.500000
0.049663,0.823351,0.000000,1.000000
0.024636,0.762716,0.443447,0.363265
0.000123,0.679290,0.443531,0.311373
-0.000059,0.586109,0.499588,0.288327
0.021126,0.493342,0.545877,0.288946
0.091835,0.413490,0.657919,0.317291
0.185480,0.359868,0.711594,0.377201
0.279197,0.328724,0.711765,0.428576
0.355188,0.305818,0.674046,0.447266
0.381840,0.302654,0.561989,0.491082
0.403077,0.322992,0.545994,0.545202
0.470404,0.357259,0.650145,0.577830
0.544334,0.391666,0.673735,0.581286
0.572032,0.424760,0.565089,0.578185
0.523921,0.457823,0.500000,0.500000
0.957182,0.827452,1.000000,1.000000
0.998839,0.778091,0.597899,0.388875
0.998796,0.709024,0.499898,0.336829
0.998765,0.618655,0.499927,0.286503
0.978813,0.534302,0.453112,0.300716
0.916272,0.469811,0.353029,0.347640
0.849370,0.425164,0.346845,0.397586
0.828480,0.396921,0.450909,0.433276
0.810136,0.369057,0.456891,0.434170
0.749270,0.348113,0.356965,0.450520
0.662503,0.348310,0.303943,0.499441
0.598965,0.366225,0.350685,0.542322
0.578109,0.386554,0.450854,0.546180
0.601339,0.406101,0.554592,0.546182
0.627437,0.426432,0.560976,0.546184
0.609119,0.445985,0.456952,0.546192
0.089954,0.015616,0.500000,0.500000
0.970869,0.021419,1.000000,0.513710
1.036715,0.021743,0.646779,0.500463
1.037562,0.035966,0.501990,0.533602
1.017532,0.071358,0.452931,0.583615
0.951700,0.126652,0.353256,0.625427
0.883120,0.183937,0.343038,0.630129
0.860497,0.239025,0.446835,0.630147
0.842147,0.286372,0.456878,0.611858
0.781327,0.310382,0.357073,0.556723
0.717853,0.320132,0.350836,0.523035
0.696987,0.329888,0.450965,0.523049
0.678775,0.339646,0.460845,0.522165
0.617903,0.349025,0.356952,0.522157
0.554445,0.358405,0.350874,0.522162
0.533482,0.368168,0.450623,0.522178
0.556802,0.377556,0.554802,0.522179
0.582838,0.388200,0.560829,0.523719
0.564493,0.414286,0.456890,0.561627
0.544123,0.454988,0.500000,0.500000
0.080439,0.056519,0.000000,0.000000
0.026375,0.117291,0.372949,0.643574
0.002644,0.202910,0.444243,0.693628
0.024178,0.298079,0.546658,0.716189
0.088315,0.380436,0.650722,0.694568
0.200144,0.443686,0.762798,0.649428
0.314624,0.487476,0.760677,0.599686
0.381406,0.527354,0.656938,0.594213
0.405612,0.567218,0.556884,0.594178
0.425537,0.596196,0.546824,0.568460
