timestamp,block,episode,start_pos,expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
1.759833786465000000e+12,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-1.350000000000000000e+02,2.954999999999998295e+01,1.920776539524892579e+00,1.460000000000000000e+02
1.759833799312000000e+12,2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-2.300000000000000000e+01,6.723000000000013188e+00,4.910920157734478542e-01,3.400000000000000000e+01
1.759833836163000000e+12,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+02,3.038299999999998136e+01,1.728972831834076684e+00,1.500000000000000000e+02
1.759833850192000000e+12,2.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-2.900000000000000000e+01,7.949000000000012278e+00,5.631203073746252619e-01,4.000000000000000000e+01
1.759833872813000000e+12,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.000000000000000000e+01,1.629899999999997817e+01,9.151740672662627141e-01,8.100000000000000000e+01
1.759833892707000000e+12,2.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-5.700000000000000000e+01,1.365000000000003411e+01,6.926683153437072082e-01,6.800000000000000000e+01
1.759833916221000000e+12,2.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.500000000000000000e+01,1.729099999999999682e+01,1.050307741871779443e+00,8.600000000000000000e+01
1.759833934054000000e+12,2.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.700000000000000000e+01,1.162399999999996680e+01,8.146142272509863114e-01,5.800000000000000000e+01
1.759834371796000000e+12,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+01,1.020599999999990359e+01,5.227957937130088828e-01,5.100000000000000000e+01
1.759834385326000000e+12,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000000000e+01,7.336999999999989086e+00,3.823419842006479663e-01,3.700000000000000000e+01
1.759834398661000000e+12,4.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-2.500000000000000000e+01,7.144999999999981810e+00,4.094894303773887190e-01,3.600000000000000000e+01
1.759834411710000000e+12,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.400000000000000000e+01,6.927000000000020918e+00,2.694140127349827218e-01,3.500000000000000000e+01
1.759834427453000000e+12,4.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.700000000000000000e+01,9.574999999999931788e+00,4.197270751290471669e-01,4.800000000000000000e+01
1.759834437622000000e+12,4.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+01,4.081000000000017280e+00,3.044144075889735901e-01,2.100000000000000000e+01
1.759834454826000000e+12,4.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-4.400000000000000000e+01,1.099699999999995725e+01,4.377440720501411531e-01,5.500000000000000000e+01
1.759834467207000000e+12,4.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.100000000000000000e+01,6.317999999999983629e+00,3.441459937955901882e-01,3.200000000000000000e+01
1.759834892725000000e+12,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,3.266000000000076398e+00,2.786731504483144217e-01,1.700000000000000000e+01
1.759834900831000000e+12,6.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.043000000000120053e+00,2.430383117214532374e-01,1.100000000000000000e+01
1.759834910886000000e+12,6.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-9.000000000000000000e+00,3.899000000000114596e+00,3.475876448845039435e-01,2.000000000000000000e+01
1.759834921461000000e+12,6.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-1.200000000000000000e+01,4.482999999999947249e+00,3.146735201653309555e-01,2.300000000000000000e+01
1.759834928766000000e+12,6.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.232999999999947249e+00,2.179404259631294027e-01,7.000000000000000000e+00
1.759834941748000000e+12,6.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.300000000000000000e+01,6.729000000000041837e+00,3.336754682214384538e-01,3.400000000000000000e+01
1.759834950956000000e+12,6.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,3.064000000000078217e+00,2.085176221377030015e-01,1.600000000000000000e+01
1.759834960895000000e+12,6.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-9.000000000000000000e+00,3.884000000000014552e+00,2.957324085018834814e-01,2.000000000000000000e+01
1.759835403069000000e+12,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,3.265999999999849024e+00,3.140767929662104940e-01,1.700000000000000000e+01
1.759835414746000000e+12,8.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-1.700000000000000000e+01,5.513999999999896318e+00,3.471136017759278158e-01,2.800000000000000000e+01
1.759835423638000000e+12,8.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,2.861999999999852662e+00,2.430348190368684103e-01,1.500000000000000000e+01
1.759835436118000000e+12,8.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-2.100000000000000000e+01,6.326000000000021828e+00,2.960267864065592724e-01,3.200000000000000000e+01
1.759835445891000000e+12,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+00,3.653000000000020009e+00,2.678705612682464321e-01,1.900000000000000000e+01
1.759835454627000000e+12,8.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,2.655999999999949068e+00,2.508580659563805493e-01,1.400000000000000000e+01
1.759835464439000000e+12,8.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+00,3.685000000000172804e+00,2.551753877261425107e-01,1.900000000000000000e+01
1.759835472823000000e+12,8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.257000000000061846e+00,2.475790603064939033e-01,1.200000000000000000e+01
