timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.760439975782000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.160123604118818541e-01,3.352779933513629351e-01,-1.712318546757961024e-01,1.630481642526017683e-01,1.807853169580751485e-01,9.326877955098569206e-01,5.000000000000000000e-01,5.000000000000000000e-01,9.508943900223612022e-01,2.141885847937442452e-02,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760439975984000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.712319290137411798e-01,1.630484725174262406e-01,-1.750067149333540129e-01,1.630560326129154580e-01,9.508939946077596961e-01,2.142048951019174044e-02,5.999999999999999778e-01,5.000000000000000000e-01,9.308153460991808181e-01,2.146049001542569418e-02,4.000000000000000777e-01,5.000000000000000000e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760439976187000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-1.750067149333540129e-01,1.630560326129154580e-01,-1.792330490388873432e-01,1.630637195420350516e-01,9.308153460991808181e-01,2.146049001542569418e-02,5.999999999999999778e-01,5.000000000000000000e-01,9.083348455378332797e-01,2.150116159806904695e-02,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.760439976389000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-1.792330490388873432e-01,1.630637195420350516e-01,-1.754656407586614453e-01,1.649569873464575287e-01,9.083348455378332797e-01,2.150116159806904695e-02,5.999999999999999778e-01,5.000000000000000000e-01,9.283742512837157568e-01,3.151845156855834218e-02,5.999999999999999778e-01,5.499999999999999334e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.760439976593000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,-1.751489123949964699e-01,1.651156698307962023e-01,-1.668331987485990597e-01,1.711651960818821872e-01,9.300589766223592569e-01,3.235804143278413203e-02,5.000000000000000000e-01,5.519999999999999352e-01,9.742914960180901751e-01,6.436611683535548023e-02,6.039999999999999813e-01,6.019999999999999796e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.760439976795000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.668331987485990597e-01,1.711651960818821872e-01,-1.620909263002314749e-01,1.804705185567967995e-01,9.742914960180901751e-01,6.436611683535548023e-02,5.000000000000000000e-01,6.019999999999999796e-01,9.995163494668538595e-01,1.136006272846391552e-01,5.000000000000000000e-01,6.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760439976999000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.620909263002314749e-01,1.804705185567967995e-01,-1.620918460186192289e-01,1.904649855163204619e-01,9.995163494668538595e-01,1.136006272846391552e-01,3.999999999999999667e-01,6.199999999999999956e-01,9.995114573477701381e-01,1.664814048482564091e-01,5.000000000000000000e-01,6.199999999999999956e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760439977202000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.620918460186192289e-01,1.904649855163204619e-01,-1.658650369207781416e-01,2.000757614430446751e-01,9.995114573477701381e-01,1.664814048482564091e-01,3.999999999999999667e-01,6.199999999999999956e-01,9.794412929745843766e-01,2.173320711272205275e-01,4.000000000000000777e-01,6.199999999999999956e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760439977405000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000056e-01,1.000000000000000000e+00,-1.658650369207781416e-01,2.000757614430446751e-01,-1.700936402932560487e-01,2.095192590427864821e-01,9.794412929745843766e-01,2.173320711272205275e-01,5.000000000000000000e-01,6.199999999999999956e-01,9.569487218443827325e-01,2.672976668930501787e-01,5.000000000000000000e-01,6.039999999999999813e-01,-2.000000000000000042e-02,2.000000000000000111e-01
1.760439977610000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000056e-01,2.000000000000000000e+00,-1.700969696524912700e-01,2.098541276066453742e-01,-1.735555780992213970e-01,2.161418919792498228e-01,9.569310124867486111e-01,2.690694582362189169e-01,5.040000000000000036e-01,6.039999999999999813e-01,9.385341590466946826e-01,3.023380528002636569e-01,4.040000000000000258e-01,5.519999999999999352e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
